CN7C_104,SD8,1.5
CN7C_110,SD8,1.5
AD3B1,SD8,1.5
AD4A,SD8,1.5
AD14A,SD8,1.5
CD7B,SD8,1.5
OD26A,SD8,1.5
OD23A,SD8,1.5
OD12A,SD8,1.5
OD4A,SD8,1.5
OD3B1,SD8,1.5
OD3B,SD8,1.5
AD32B1,SD8,1.5
AD43_1H,SD8,1.5
AD43_1C,SD8,1.5
AD43_1A,SD8,1.5
AD33A,SD8,1.5
AD32B,SD8,1.5
AD28A,SD8,1.5
AD25A,SD8,1.5
CD18B,SD8,1.5
SU30A,SD8,1.5
EA37A,SD8,1.5
SU2A,SD8,1.5
SP13C1,SD8,1.5
SP20,SD8,1.5
SP27A,SD8,1.5
SP38A,SD8,1.5
SP41A,SD8,1.5
SO3A,SD8,1.5
ASO3B1,SD8,1.5
ASO6B1,SD8,1.5
SO18A,SD8,1.5
SO25A,SD8,1.5
SO36A,SD8,1.5
SO39A,SD8,1.5
AG26B1,SD8,1.5
AG3A,SD8,1.5
SP13A1,SD8,1.5
AAG3B1,SD8,1.5
AG17B,SD8,1.5
AG24A,SD8,1.5
AG35A,SD8,1.5
AG38A,SD8,1.5
M19D,SD8,1.5
SU15B1,SD8,1.5
D42,SD8,1.5
G56A,SD8,1.5
G59A,SD8,1.5
D47,SD8,1.5
M18B,SD8,1.5
IED18B,SD8,1.5
IED22A,SD8,1.5
M48A,SD8,1.5
AAG6A1,SD8,1.5
IED30A,SD8,1.5
SP11C1,SD8,1.5
SP9C1,SD8,1.5
IR7A,SD8,1.5
IR20A,SD8,1.5
M33A,SD8,1.5
IR20B1,SD8,1.5
IR21C,SD8,1.5
IR56A,SD8,1.5
IR68A,SD8,1.5
IR71A,SD8,1.5
PD7A,SD8,1.5
PD7B1,SD8,1.5
PD9A,SD8,1.5
PD9B1,SD8,1.5
PD10D,SD8,1.5
PD15,SD8,1.5
SP11A1,SD8,1.5
PD16E,SD8,1.5
PD37A,SD8,1.5
PD50A,SD8,1.5
PD62A,SD8,1.5
PD65A,SD8,1.5
PD7B,SD8,1.5
PD9B,SD8,1.5
PD21,SD8,1.5
SP3A1,SD8,1.5
SP3C1,SD8,1.5
SP5A1,SD8,1.5
SP5C1,SD8,1.5
SP7A1,SD8,1.5
SP7C1,SD8,1.5
SP9A1,SD8,1.5
PD21B1,SD8,1.5
IED33A,SD8,1.5
IED29A,SD8,1.5
SD3A,SD8,1.5
SD2A,SD8,1.5
M6C,SD8,1.5
M6A,SD8,1.5
SR78,SD8,1.5
SR87,SD8,1.5
SR89,SD8,1.5
SR91,SD8,1.5
SR100,SD8,1.5
SR102,SD8,1.5
SU1,SD8,1.5
SU2,SD8,1.5
SU15A,SD8,1.5
SU15B,SD8,1.5
SU17,SD8,1.5
SR74,SD8,1.5
SU30,SD8,1.5
SU45B,SD8,1.5
SU45C,SD8,1.5
D37B1,SD8,1.5
SU68B1,SD8,1.5
SU83A,SD8,1.5
SU68A,SD8,1.5
SU70,SD8,1.5
SU83,SD8,1.5
D22C,SD8,1.5
SU95A,SD8,1.5
D87A,SD8,1.5
SU102A,SD8,1.5
SU119_1,SD8,1.5
SU119_3,SD8,1.5
SU45A,SD8,1.5
SR68,SD8,1.5
SR76,SD8,1.5
SR59,SD8,1.5
SD4A,SD8,1.5
SD5A,SD8,1.5
CC3F,SD10A,1.5
GM16A2,SD10A,1.5
GM16A1,SD10A,1.5
GM16B,SD10A,1.5
GM33,SD10A,1.5
GM5,SD10A,1.5
GM2,SD10A,1.5
GM18,SD10A,1.5
PS3,SD10A,1.5
O67A,SD10A,1.5
O54,SD10A,1.5
O45B1,SD10A,1.5
O45B,SD10A,1.5
O45A,SD10A,1.5
O28C,SD10A,1.5
O70A,SD10A,1.5
O16C,SD10A,1.5
GM20B,SD10A,1.5
GM20B2,SD10A,1.5
CN7B,SD10A,1.5
CN6B,SD10A,1.5
CN5B,SD10A,1.5
MR24,SD10A,1.5
MR10_0,SD10A,1.5
GM43A,SD10A,1.5
GM20B1,SD10A,1.5
GM41A,SD10A,1.5
GM25A2,SD10A,1.5
GM25A1,SD10A,1.5
GM25,SD10A,1.5
GM22A2,SD10A,1.5
GM22A1,SD10A,1.5
GM22,SD10A,1.5
GM40A,SD10A,1.5
PR27A,SD10A,1.5
PR21B,SD10A,1.5
PR20B1,SD10A,1.5
CC39_1,SD10A,1.5
CC29_1,SD10A,1.5
CC3T,SD10A,1.5
CC3S,SD10A,1.5
CC3O,SD10A,1.5
CC3N,SD10A,1.5
CC44,SD10A,1.5
CC3L,SD10A,1.5
CC3H,SD10A,1.5
CC3G,SD10A,1.5
EA35A,SD10A,1.5
CC3D,SD10A,1.5
CC3B,SD10A,1.5
CC3A,SD10A,1.5
CC3J,SD10A,1.5
CC72,SD10A,1.5
CC73,SD10A,1.5
CC79,SD10A,1.5
PR20B,SD10A,1.5
PR20A,SD10A,1.5
PR11,SD10A,1.5
PR9,SD10A,1.5
PR7,SD10A,1.5
PR5A,SD10A,1.5
TB21A,SD10A,1.5
N47A,SD10A,1.5
N44A,SD10A,1.5
N32A,SD10A,1.5
N31,SD10A,1.5
N17C,SD10A,1.5
N16B,SD10A,1.5
N16A,SD10A,1.5
CC80,SD10A,1.5
CN7C,SD10A,1.5
CN7C_101,SD10A,1.5
CN7C_102,SD10A,1.5
CN7C_103,SD10A,1.5
PT59B_5,SD10A,1.5
PT57A1,SD10A,1.5
DM20,SD10A,1.5
DM1_15,SD10A,1.5
SA47A,SD10A,1.5
SA44A,SD10A,1.5
PT64A,SD10A,1.5
SA43A,SD10A,1.5
SA19B1,SD10A,1.5
SA19B,SD10A,1.5
SA19A,SD10A,1.5
SA8B1,SD10A,1.5
SA8B,SD10A,1.5
SA8A,SD10A,1.5
SA20C,SD10A,1.5
PT119,SD10A,1.5
PT119A,SD10A,1.5
PT120,SD10A,1.5
EA29A,SD10A,1.5
EA26B1,SD10A,1.5
EA26A,SD10A,1.5
EA22A,SD10A,1.5
EA19B1,SD10A,1.5
EA19B,SD10A,1.5
EA19A,SD10A,1.5
EA15A,SD10A,1.5
EA12B1,SD10A,1.5
EA12A,SD10A,1.5
PT59B,SD10A,1.5
PT120A,SD10A,1.5
PT55C,SD10A,1.5
PT256A,SD10A,1.5
PT246A,SD10A,1.5
CD37A,SD10A,1.5
SU68B,SD10A,1.5
CD20A,SD10A,1.5
ACD18C1,SD10A,1.5
CH6CA,SD10A,1.5
CH6B,SD10A,1.5
CH2C,SD10A,1.5
CH2B,SD10A,1.5
CH2A,SD10A,1.5
DA36_3C,SD10A,1.5
AD3B,SD10A,1.5
CN7_2A,SD10A,1.5
CN7C_109,SD10A,1.5
CN7C_108,SD10A,1.5
CN7C_107,SD10A,1.5
CN7C_106,SD10A,1.5
CN7C_105,SD10A,1.5
CN7C_104,SD10A,1.5
CN7C_110,SD10A,1.5
AD3B1,SD10A,1.5
AD4A,SD10A,1.5
AD14A,SD10A,1.5
CD7B,SD10A,1.5
OD26A,SD10A,1.5
OD23A,SD10A,1.5
OD12A,SD10A,1.5
OD4A,SD10A,1.5
OD3B1,SD10A,1.5
OD3B,SD10A,1.5
AD32B1,SD10A,1.5
AD43_1H,SD10A,1.5
AD43_1C,SD10A,1.5
AD43_1A,SD10A,1.5
AD33A,SD10A,1.5
AD32B,SD10A,1.5
AD28A,SD10A,1.5
AD25A,SD10A,1.5
CD18B,SD10A,1.5
SU30A,SD10A,1.5
EA37A,SD10A,1.5
SU2A,SD10A,1.5
SP13C1,SD10A,1.5
SP20,SD10A,1.5
SP27A,SD10A,1.5
SP38A,SD10A,1.5
SP41A,SD10A,1.5
SO3A,SD10A,1.5
ASO3B1,SD10A,1.5
ASO6B1,SD10A,1.5
SO18A,SD10A,1.5
SO25A,SD10A,1.5
SO36A,SD10A,1.5
SO39A,SD10A,1.5
AG26B1,SD10A,1.5
AG3A,SD10A,1.5
SP13A1,SD10A,1.5
AAG3B1,SD10A,1.5
AG17B,SD10A,1.5
AG24A,SD10A,1.5
AG35A,SD10A,1.5
AG38A,SD10A,1.5
M19D,SD10A,1.5
SU15B1,SD10A,1.5
D42,SD10A,1.5
G56A,SD10A,1.5
G59A,SD10A,1.5
D47,SD10A,1.5
M18B,SD10A,1.5
IED18B,SD10A,1.5
IED22A,SD10A,1.5
M48A,SD10A,1.5
AAG6A1,SD10A,1.5
IED30A,SD10A,1.5
SP11C1,SD10A,1.5
SP9C1,SD10A,1.5
IR7A,SD10A,1.5
IR20A,SD10A,1.5
M33A,SD10A,1.5
IR20B1,SD10A,1.5
IR21C,SD10A,1.5
IR56A,SD10A,1.5
IR68A,SD10A,1.5
IR71A,SD10A,1.5
PD7A,SD10A,1.5
PD7B1,SD10A,1.5
PD9A,SD10A,1.5
PD9B1,SD10A,1.5
PD10D,SD10A,1.5
PD15,SD10A,1.5
SP11A1,SD10A,1.5
PD16E,SD10A,1.5
PD37A,SD10A,1.5
PD50A,SD10A,1.5
PD62A,SD10A,1.5
PD65A,SD10A,1.5
PD7B,SD10A,1.5
PD9B,SD10A,1.5
PD21,SD10A,1.5
SP3A1,SD10A,1.5
SP3C1,SD10A,1.5
SP5A1,SD10A,1.5
SP5C1,SD10A,1.5
SP7A1,SD10A,1.5
SP7C1,SD10A,1.5
SP9A1,SD10A,1.5
PD21B1,SD10A,1.5
IED33A,SD10A,1.5
IED29A,SD10A,1.5
SD3A,SD10A,1.5
SD2A,SD10A,1.5
M6C,SD10A,1.5
M6A,SD10A,1.5
SR78,SD10A,1.5
SR87,SD10A,1.5
SR89,SD10A,1.5
SR91,SD10A,1.5
SR100,SD10A,1.5
SR102,SD10A,1.5
SU1,SD10A,1.5
SU2,SD10A,1.5
SU15A,SD10A,1.5
SU15B,SD10A,1.5
SU17,SD10A,1.5
SR74,SD10A,1.5
SU30,SD10A,1.5
SU45B,SD10A,1.5
SU45C,SD10A,1.5
D37B1,SD10A,1.5
SU68B1,SD10A,1.5
SU83A,SD10A,1.5
SU68A,SD10A,1.5
SU70,SD10A,1.5
SU83,SD10A,1.5
D22C,SD10A,1.5
SU95A,SD10A,1.5
D87A,SD10A,1.5
SU102A,SD10A,1.5
SU119_1,SD10A,1.5
SU119_3,SD10A,1.5
SU45A,SD10A,1.5
SR68,SD10A,1.5
SR76,SD10A,1.5
SR59,SD10A,1.5
SD4A,SD10A,1.5
SD5A,SD10A,1.5
SD8,SD15A,6.0
SD10A,SD15A,6.0
SD8,SD16A,6.0
SD10A,SD16A,6.0
SD8,SD17A,6.0
SD10A,SD17A,6.0
SD8,SD18A,6.0
SD10A,SD18A,6.0
SD8,SD21,6.0
SD10A,SD21,6.0
SD8,SD23A,6.0
SD10A,SD23A,6.0
SD8,SR5B,6.0
SD10A,SR5B,6.0
SD15A,SR7,8.5
SD16A,SR7,8.5
SD17A,SR7,8.5
SD18A,SR7,8.5
SD21,SR7,8.5
SD23A,SR7,8.5
SR5B,SR7,8.5
SR7,SR66,11.0
SR66,SR10A,13.5
SR10A,SR11A,14.5
SR10A,SR8A,14.5
SR11A,D37B,15.5
SR8A,D37B,15.5
SR11A,SR57,15.5
SR8A,SR57,15.5
D37B,SR12A,16.5
SR57,SR12A,16.5
D37B,SR48,16.5
SR57,SR48,16.5
D37B,SR42,16.5
SR57,SR42,16.5
D37B,SR40,16.5
SR57,SR40,16.5
D37B,SR50,16.5
SR57,SR50,16.5
D37B,M18A,16.5
SR57,M18A,16.5
D37B,M18B1,16.5
SR57,M18B1,16.5
SR12A,SR21,17.5
SR48,SR21,17.5
SR42,SR21,17.5
SR40,SR21,17.5
SR50,SR21,17.5
M18A,SR21,17.5
M18B1,SR21,17.5
SR21,SR19,19.5
SR21,SR31,19.5
SR21,M45A,19.5
SR21,CH30_1A,19.5
SR21,CH30_1B,19.5
SR19,PR2,22.0
SR31,PR2,22.0
M45A,PR2,22.0
CH30_1A,PR2,22.0
CH30_1B,PR2,22.0
SR19,SU87A,22.0
SR31,SU87A,22.0
M45A,SU87A,22.0
CH30_1A,SU87A,22.0
CH30_1B,SU87A,22.0
PR2,SU87B,30.0
SU87A,SU87B,30.0
PR2,MR1_2,30.0
SU87A,MR1_2,30.0
PR2,CD9A,30.0
SU87A,CD9A,30.0
PR2,EM1,30.0
SU87A,EM1,30.0
PR2,DM_EM1,30.0
SU87A,DM_EM1,30.0
PR2,CC3C,30.0
SU87A,CC3C,30.0
PR2,CN3,30.0
SU87A,CN3,30.0
PR2,MR19,30.0
SU87A,MR19,30.0
PR2,DM_MR19,30.0
SU87A,DM_MR19,30.0
PR2,PR4C,30.0
SU87A,PR4C,30.0
PR2,PR4A,30.0
SU87A,PR4A,30.0
PR2,SU45D,30.0
SU87A,SU45D,30.0
PR2,CC3E,30.0
SU87A,CC3E,30.0
PR2,G26A,30.0
SU87A,G26A,30.0
PR2,SR27,30.0
SU87A,SR27,30.0
PR2,D37A,30.0
SU87A,D37A,30.0
SU87B,D59A,37.5
MR1_2,D59A,37.5
CD9A,D59A,37.5
EM1,D59A,37.5
DM_EM1,D59A,37.5
CC3C,D59A,37.5
CN3,D59A,37.5
MR19,D59A,37.5
DM_MR19,D59A,37.5
PR4C,D59A,37.5
PR4A,D59A,37.5
SU45D,D59A,37.5
CC3E,D59A,37.5
G26A,D59A,37.5
SR27,D59A,37.5
D37A,D59A,37.5
D59A,D22A,38.5
D59A,G44A,38.5
D59A,D72A,38.5
D59A,SR13A,38.5
D59A,SR29,38.5
D59A,G27C,38.5
D22A,D38C,40.5
G44A,D38C,40.5
D72A,D38C,40.5
SR13A,D38C,40.5
SR29,D38C,40.5
G27C,D38C,40.5
D22A,CC3I,40.5
G44A,CC3I,40.5
D72A,CC3I,40.5
SR13A,CC3I,40.5
SR29,CC3I,40.5
G27C,CC3I,40.5
